k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.544519,0.653436,0.601217,0.36978,0.36383,12.6479,10.2971,5.38992,115.883,82.3825,34.1416,86.0929,51.0083,42.9359
0.478343,0.813232,0.297667,0.781723,0.271233,19.0029,6.88188,2.45012,265.487,39.9203,9.43535,88.2438,37.456,13.1192
0.360805,0.538282,0.921862,0.22822,0.695232,7.85092,9.09408,11.3899,45.7347,63.6613,122.365,45.0282,61.2366,74.0954
0.110748,0.848374,0.194,0.584749,0.333173,19.2673,3.86108,5.20652,260.281,15.2994,37.1914,50.1601,75.352,14.3428
0.212585,0.539282,0.592203,0.301875,0.229969,11.0921,9.92708,7.31572,85.3,70.4956,74.6697,66.3838,61.3666,53.2574
0.732968,0.362624,0.143983,0.331401,0.653683,14.9355,7.44028,5.95912,147.884,53.55,42.5297,72.3059,62.3447,39.6082
0.0575507,0.611733,0.260339,0.0426046,0.416963,9.95432,3.83388,14.5467,64.84,13.5943,294.026,20.9031,58.3534,30.7539
0.191858,0.718602,0.78785,0.179365,0.589898,8.90792,7.08988,12.3371,55.2459,38.7954,158.753,37.5891,72.1,60.1543
0.231702,0.225736,0.318237,0.115046,0.386489,8.38972,8.67428,11.2709,45.3219,59.3762,156.192,38.4861,53.6765,73.633
0.232881,0.323292,0.409368,0.296989,0.191911,10.8183,10.6305,6.88612,82.0121,81.113,70.7932,67.1857,57.762,54.3337
0.713399,0.19285,0.506069,0.0784579,0.133116,6.64712,17.0079,4.67992,32.2073,218.735,33.9142,64.5469,19.6058,69.6598
0.608213,0.726256,0.586282,0.714727,0.190581,14.9849,11.0885,2.26152,171.168,93.2442,8.21466,111.832,28.0132,20.0825
0.861334,0.118361,0.808171,0.0360823,0.580558,3.26512,15.2163,9.85352,9.98349,173.531,94.4717,27.1464,17.9543,112.147
0.157412,0.384388,0.321166,0.803556,0.912107,16.9405,4.90848,6.48592,217.332,22.0064,39.9219,56.8582,77.8253,21.9269
0.78022,0.292503,0.161374,0.744482,0.858301,17.3687,6.52368,4.44252,219.401,37.7986,23.119,75.8387,57.4649,22.7777
0.878741,0.911652,0.62528,0.82924,0.477071,16.1783,9.35728,2.79932,197.224,70.1803,10.3581,103.415,34.4572,19.4875
0.667961,0.394282,0.259881,0.544222,0.431856,15.1865,9.03948,4.10892,166.382,66.9406,21.455,91.0092,47.8314,30.011
0.195074,0.822508,0.638684,0.481376,0.816557,13.2445,6.00708,9.08332,124.621,31.5749,81.2691,52.4556,84.8843,40.1682
0.655375,0.3169,0.843522,0.654102,0.773357,9.67992,11.5643,7.09072,74.032,106.288,44.57,77.3948,48.0336,58.3672
0.17414,0.75793,0.453575,0.0817784,0.250668,11.0699,6.78548,10.4795,76.9705,35.7688,165.559,42.5947,65.2465,49.2499
0.295567,0.386878,0.687475,0.456931,0.638206,10.2665,9.25788,8.81052,79.9712,66.1567,73.5539,62.2446,65.6275,58.5275
0.261554,0.726339,0.313325,0.70602,0.562403,17.9683,5.42368,4.94292,236.091,27.0305,27.4855,67.0277,64.3039,19.6055
0.39256,0.868681,0.288815,0.693639,0.275807,19.0661,6.26508,3.00372,261.497,33.3513,14.4256,79.6593,46.8482,15.0959
0.0672536,0.482521,0.290373,0.546675,0.263851,15.7785,6.64408,5.91232,179.738,35.3274,48.6023,63.0997,75.0569,26.2502
0.113469,0.607707,0.234759,0.709179,0.111089,18.3075,6.71748,3.30992,242.44,37.22,20.7244,76.6779,53.4135,15.9572
0.88985,0.317414,0.70865,0.68502,0.680724,10.5051,12.3967,5.43312,85.342,117.489,30.4726,87.6883,41.8064,50.0938
0.697896,0.12426,0.690041,0.353957,0.641617,6.76432,13.2731,8.29752,35.2288,136.546,65.3834,56.9732,38.3533,82.3348
0.262897,0.414753,0.164501,0.35073,0.586526,15.1291,5.15968,8.04612,155.88,25.7791,72.3163,50.8476,84.8778,33.5273
0.106848,0.419433,0.190238,0.982237,0.519006,19.6473,4.80548,3.88212,292.212,20.8078,17.4554,61.8713,56.4136,12.7183
0.650859,0.911345,0.319603,0.907991,0.202422,19.6107,7.31428,1.40992,287.081,44.5125,4.17531,97.2807,23.008,8.0672
0.754379,0.265855,0.0684738,0.299321,0.381038,14.6095,9.13068,4.59472,141.079,81.5324,29.5909,82.9909,46.8135,40.3352
0.0942211,0.327261,0.821548,0.529024,0.162153,9.03712,13.4175,5.88032,66.2314,120.869,51.4358,73.8885,47.0388,56.0452
0.377296,0.4967,0.662117,0.553581,0.678162,11.9497,8.90568,7.47952,106.055,63.3749,55.1759,70.9601,64.1789,48.7986
